project,experiment_name,experiment_key,metric,step,value,timestamp,download_source
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Batch Best,0,0.2223961502313614,1779753086230,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Batch Best,1,0.2107541710138321,1779753164647,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Batch Best,2,0.1574207693338394,1779753221390,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Batch Best,3,0.1943609416484832,1779753278381,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Batch Best,4,0.2452797293663025,1779753336948,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Batch Best,5,0.1594193428754806,1779753398310,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Batch Best,6,0.1848445236682891,1779753481303,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Batch Best,7,0.2405656427145004,1779753540977,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Batch Best,8,0.1933361887931823,1779753602232,get_metrics
logic-circuit-ablation-no-risk,Logic_Circuit_Ablation_No_Risk_2026-05-26 01:50:15,874b3a8459eb4817a8b1d9218db138b3,Loss: Batch Best,9,0.1122121959924697,1779753662232,get_metrics
