seed,file,fitness,loss,parse_ok,rne_is_oscillator,rne_is_broken_oscillator,rne_fixed_by_reaction_removal,rne_posthoc_success,error
seed000,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed000.ant,0.2265851218382078,4.413352438533215,True,False,False,False,False,
seed001,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed001.ant,0.00901912171430346,110.87554106450256,True,False,False,False,False,
seed002,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed002.ant,0.00902284180184857,110.8298274491661,True,False,False,False,False,
seed003,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed003.ant,0.054674214400749495,18.290157635740837,True,False,False,False,False,
seed004,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed004.ant,0.06332012435175662,15.792767469071753,True,True,False,False,True,
seed005,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed005.ant,0.009224172934934561,108.41080355429115,True,False,False,False,False,
seed006,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed006.ant,0.009595696807301641,104.21338023509364,True,False,False,False,False,
seed007,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed007.ant,0.02247889233277378,44.4861777527187,True,False,False,False,False,
seed008,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed008.ant,0.009019065588694997,110.8762310425435,True,False,False,False,False,
seed009,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed009.ant,0.01184023091419969,84.45781228816452,True,False,False,False,False,
seed010,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed010.ant,0.009470741105262177,105.58835775210615,True,False,False,False,False,
seed011,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed011.ant,0.050366044656838464,19.854646256487896,True,False,False,False,False,
seed012,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed012.ant,0.009163183369390478,109.13237896564308,True,False,False,False,False,
seed013,/local0/rossin/git/GenAI-Net/comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_antimony/seed013.ant,0.06869961758513302,14.556121782785668,True,True,False,False,True,
